symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredstock,proceedsFromIssuanceOfCommonStock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
BCYC,2019-06-30,USD,-7608000.0,0,0,0,0,230000.0,463000.0,0,0.0,0,-463000.0,59095000.0,0,0,0,0,0.0,0.0,0,0,0,0,59129000,0,0,0,-10217000.0
BEAM,2019-12-31,USD,-17800000.0,0,0,0,0,1002000.0,2160000.0,0,0.0,-27850000,16559000.0,699000.0,0,0,0,0,0.0,0.0,0,0,0,0,38086000,0,0,0,-27850000.0
BEKE,2020-06-30,CNY,9133566000.0,0,0,0,0,272184000.0,148186000.0,0,0.0,0,2751829000.0,329069000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2836568000.0
BFT,2020-09-30,USD,-593145.0,0,0,0,0,0.0,0.0,0,0.0,0,-1467033450.0,1468173813.0,0,0,0,0,0.0,0.0,0,0,0,0,1469058450,0,0,0,-16677.0
BHAT,2019-06-30,USD,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1088299.0
BHSE,2020-09-30,USD,-50.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-50.0
BILL,2019-12-31,USD,-1769000.0,0,0,0,0,1120000.0,1026000.0,0,0.0,-7578000,-237795000.0,253461000.0,0,0,0,0,0.0,0.0,0,0,0,0,227610000,0,0,0,-7578000.0
BLCT,2020-06-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-3349763.0
BNL,2020-09-30,USD,53506000.0,619000,9816000,13187000,4553000,31516000.0,3805000.0,0,0.0,9711000,5469000.0,40170000.0,0,0,0,0,-244000.0,-332000.0,0,533986000,0,0,533986000,0,99145000,0,8750000.0
BNR,2020-06-30,CNY,61124000.0,0,0,0,0,0.0,0.0,0,0.0,0,296102000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-71055000.0
BNTX,2019-09-30,EUR,-49221000.0,0,0,0,0,8492000.0,21285000.0,0,-3590000.0,0,-21280000.0,248804000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-30103000.0
BORR,2019-06-30,USD,-54900000.0,0,0,0,0,24600000.0,5200000.0,0,0.0,0,-51700000.0,154600000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-103200000.0
BQ,2020-09-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-28067000.0
BRBR,2019-09-30,USD,38900000.0,0,0,0,0,6300000.0,1400000.0,0,24800000.0,26700000,-1400000.0,-35200000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-200000,26700000.0
BWAY,2019-03-31,USD,-946000.0,0,0,0,0,356000.0,358000.0,0,0.0,0,-413000.0,-54000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-1907000.0
CABA,2019-09-30,USD,-2076000.0,0,0,0,0,32000.0,40000.0,0,0.0,-4650000,-40000.0,-2101000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-4650000.0
CALT,2020-06-30,SEK,-67016000.0,0,0,0,0,0.0,0.0,0,0.0,0,-1000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-61326000.0
CAN,2019-12-31,USD,-269533000.0,0,0,0,0,15252000.0,2040000.0,0,275063000.0,0,68050000.0,397447000.0,0,0,0,0,0.0,0.0,0,0,0,0,1213681000,0,0,0,-798211000.0
CAPA,2020-09-30,USD,-182900.0,0,0,0,0,0.0,0.0,0,0.0,0,-115000000.0,116347623.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-50253.0
CAP,2020-12-31,USD,-726959.0,0,0,0,0,0.0,0.0,0,0.0,0,-345000000.0,346356631.0,0,0,0,0,0.0,0.0,0,0,0,0,346850000,0,0,0,-134490.0
CCAC,2019-12-31,USD,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,300000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-22966.0
CD,2020-09-30,CNY,138481000.0,0,0,0,0,102319000.0,965768000.0,0,0.0,0,-965768000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-173697000.0
CERT,2020-12-31,USD,12681000.0,0,0,0,0,11113000.0,1403000.0,0,0.0,0,-1403000.0,232317000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-54447000.0
CFAC,2020-09-30,USD,0.0,0,0,0,0,0.0,0.0,0,0.0,0,-230000000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-505.0
CGRO,2020-03-31,USD,-908.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,957.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-908.0
CHAQ,2020-03-31,USD,1599.0,0,0,0,0,0.0,0.0,0,0.0,-16923,-86226440.0,-20300.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,-18701,0,-16923.0
CHWY,2019-05-31,USD,21807000.0,0,0,0,0,7630000.0,11941000.0,0,-34015000.0,0,-14980000.0,114719000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-82876000.0
CLEU,2020-03-31,USD,-156589.0,0,0,0,0,0.0,0.0,0,0.0,0,-6416.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
CMBM,2019-06-30,USD,5954000.0,0,0,0,0,1393000.0,911000.0,0,-4034000.0,0,-911000.0,62398000.0,0,0,0,0,0.0,0.0,0,0,0,0,65988000,0,0,0,-20374000.0
CMPI,2020-06-30,USD,-7792000.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,84173000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-8348000.0
CMPS,2020-09-30,USD,-13912000.0,0,0,0,0,27000.0,11000.0,0,0.0,0,-15000.0,138253000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-16694000.0
CNTG,2019-09-30,EUR,-1547000.0,0,0,0,0,1612000.0,1410000.0,0,120000.0,0,17124000.0,-13080000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-4276000.0
CRSA,2019-03-31,USD,239455.0,0,0,0,0,0.0,0.0,0,0.0,171366,-250000000.0,251342222.0,0,0,0,0,0.0,0.0,0,0,0,0,257000000,0,0,0,171366.0
CRTX,2019-03-31,USD,-7216000.0,0,0,0,0,-152000.0,51000.0,0,0.0,-5681000,3164000.0,64000.0,0,0,0,0,0.0,0.0,0,0,0,0,64000,0,-3988000,0,-5681000.0
CRWD,2019-04-30,USD,1415000.0,0,0,0,0,4873000.0,15541000.0,0,0.0,-25977000,4138000.0,-882000.0,0,0,0,0,0.0,0.0,0,0,0,0,1510000,0,0,0,-25977000.0
DADA,2020-06-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-457486000.0
DAO,2019-09-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-231130000.0
DASH,2020-12-31,USD,-63000000.0,0,0,0,0,31000000.0,37000000.0,0,0.0,0,-63000000.0,3282000000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-312000000.0
DCBO,2020-12-31,USD,7046000.0,0,0,0,0,460000.0,767000.0,0,0.0,0,-2904000.0,154759000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-3741000.0
