IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-11-19,IIAC,Investindustrial Acquisition,10,9.88,-0.012
2020-11-19,NGMS,NeoGames,17,39.85,1.3441
2020-11-19,LNFA,L&F Acquisition,10,9.99,-0.001
2020-11-19,RTPZ,Reinvent Technology Partners Z,10,10.39,0.039
2020-11-19,TLS,Telos,17,35.84,1.1082
2020-11-19,YSG,Yatsen Holding,10.5,14.95,0.4238
2020-11-19,OLMA,Olema Pharmaceuticals,19,49.67,1.6142
2020-11-19,JYAC,Jiya Acquisition,10,10.01,0.001
2020-11-19,CHFW,Consonance-HFW Acquisition,10,9.88,-0.012
2020-11-18,PHIC,Population Health Investment,10,9.85,-0.015
2020-11-17,DGNS,Dragoneer Growth Opportunities II,10,10.85,0.085
2020-11-17,PIPP,Pine Island Acquisition,10,10.18,0.018
2020-11-17,OTRA,OTR Acquisition,10,9.98,-0.002
2020-11-17,ZNTE,Zanite Acquisition,10,10.24,0.024
2020-11-13,HAAC,Health Assurance Acquisition,10,11.04,0.104
2020-11-13,CFAC,CF Finance Acquisition III,10,10.1,0.01
2020-11-13,BWAC,Better World Acquisition,10,9.97,-0.003
2020-11-13,DMYI,dMY Technology Group III,10,11,0.1
2020-11-11,STIC,Northern Star Acquisition,10,11.62,0.162
2020-11-11,NOAC,Natural Order Acquisition,10,10.23,0.023
2020-11-10,TSIA,TS Innovation Acquisitions,10,13.02,0.302
2020-11-10,ADOC,Edoc Acquisition,10,10.01,0.001
2020-11-06,DBDR,Roman DBDR Tech Acquisition,10,10.03,0.003
2020-10-30,NBA,New Beginnings Acquisition,10,10,0
2020-10-30,LU,Lufax Holding,13.5,14.95,0.1074
2020-10-30,CONX,CONX Corp.,10,10.08,0.008
2020-10-30,SQZ,SQZ Biotechnologies,16,15.46,-0.0337
2020-10-30,JUPW,Jupiter Wellness,7.5,5.58,-0.256
2020-10-30,BHSE,Bull Horn Holdings,10,9.99,-0.001
2020-10-30,AVIR,Atea Pharmaceuticals,24,77.41,2.2254
2020-10-29,ALGM,Allegro MicroSystems,14,26.92,0.9229
2020-10-29,LESL,Leslie's,17,23.05,0.3559
2020-10-29,GLTO,Galecto,15,8,-0.4667
2020-10-29,DSAC,Duddell Street Acquisition,10,9.95,-0.005
2020-10-28,ROOT,"Root, Inc.",27,11.29,-0.5819
2020-10-28,GATO,Gatos Silver,7,15.63,1.2329
2020-10-28,BOAC,Bluescape Opportunities Acquisition,10,9.98,-0.002
2020-10-28,ACIC,Atlas Crest Investment,10,10.44,0.044
2020-10-28,AJAX,Ajax I,10,10.45,0.045
2020-10-28,BDSX,Biodesix,18,23.73,0.3183
2020-10-28,ABST,Absolute Software,11,15.05,0.3682
2020-10-28,MAX,MediaAlpha,19,55.79,1.9363
