SYMBOL,IPO_DATE,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN,THREE_MTH_DATE,THREE_MTH_IPO,PRICE_CHANGE,THREE_MTH_RETURN,PRICE_GAIN_LOSS,
MNCL,2019-02-07,Monocle Acquisition,10,12.2,0.22,2019-05-07,9.85,-0.15,-0.015,Loss,
ALEC,2019-02-07,Alector,19,21.02,0.1063,2019-05-07,18.74,-0.26,-0.013684211,Loss,
GMHI,2019-02-01,Gores Metropoulos,10,18,0.8,2019-05-01,9.83,-0.17,-0.017,Loss,
NFE,2019-01-31,New Fortress Energy,14,52,2.7143,2019-04-30,12.56,-1.44,-0.102857143,Loss,
ANDA,2019-01-29,Andina Acquisition III,10,10.66,0.066,2019-04-29,9.83,-0.17,-0.017,Loss,
RBKB,2019-01-17,Rhinebeck Bancorp,10,10.49,0.049,2019-04-17,11.66,1.66,0.166,Gain,
BCOW,2019-01-09,1895 Bancorp of Wisconsin,10,14.94,0.494,2019-04-09,9.67,-0.33,-0.033,Loss,
MDJH,2019-01-08,MDJM Ltd.,5,4.25,-0.15,2019-04-08,3.473,-1.527,-0.3054,Loss,
MTC,2019-01-08,"MMTec, Inc.",4,2.83,-0.2925,2019-04-08,4.3301,0.3301,0.082525,Gain,
SXTC,2019-01-04,China SXT Pharmaceuticals,4,2.03,-0.4925,2019-04-04,6.42,2.42,0.605,Gain,
