SYMBOL,IPO_DATE,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN,THREE_MTH_DATE,THREE_MTH_IPO,PRICE_CHANGE,THREE_MTH_RETURN,PRICE_GAIN_LOSS,
SPRQ,2020-11-25,Spartan Acquisition II,10,10.5,0.05,2021-02-25,11.14,1.14,0.114,Gain,
HFEN,2020-11-24,HF Enterprises,7,6.15,-0.1214,2021-02-24,17.75,10.75,1.535714286,Gain,
OZON,2020-11-24,Ozon Holdings,30,56.52,0.884,2021-02-24,61.77,31.77,1.059,Gain,
SV,2020-11-24,Spring Valley Acquisition,10,10.03,0.003,2021-02-24,10.8,0.8,0.08,Gain,
VMAR,2020-11-24,Vision Marine Technologies,10,9.56,-0.044,2021-02-24,11.91,1.91,0.191,Gain,
GNPK,2020-11-24,Genesis Park Acquisition,10,9.93,-0.007,2021-02-24,10.75,0.75,0.075,Gain,
VCVC,2020-11-24,10X Capital Venture Acquisition,10,10.72,0.072,2021-02-24,11.67,1.67,0.167,Gain,
TINV,2020-11-24,Tiga Acquisition,10,10.15,0.015,2021-02-24,10.77,0.77,0.077,Gain,
BREZ,2020-11-23,Breeze Holdings Acquisition,10,10.01,0.001,2021-02-23,10.31,0.31,0.031,Gain,
IIAC,2020-11-19,Investindustrial Acquisition,10,9.88,-0.012,2021-02-19,10.71,0.71,0.071,Gain,
NGMS,2020-11-19,NeoGames,17,39.85,1.3441,2021-02-19,30.85,13.85,0.814705882,Gain,
LNFA,2020-11-19,L&F Acquisition,10,9.99,-0.001,2021-02-19,10.34,0.34,0.034,Gain,
RTPZ,2020-11-19,Reinvent Technology Partners Z,10,10.39,0.039,2021-02-19,14.07,4.07,0.407,Gain,
TLS,2020-11-19,Telos,17,35.84,1.1082,2021-02-19,35.59,18.59,1.093529412,Gain,
YSG,2020-11-19,Yatsen Holding,10.5,14.95,0.4238,2021-02-19,21.72,11.22,1.068571429,Gain,
OLMA,2020-11-19,Olema Pharmaceuticals,19,49.67,1.6142,2021-02-19,53.64,34.64,1.823157895,Gain,
JYAC,2020-11-19,Jiya Acquisition,10,10.01,0.001,2021-02-19,11.22,1.22,0.122,Gain,
CHFW,2020-11-19,Consonance-HFW Acquisition,10,9.88,-0.012,2021-02-19,10.61,0.61,0.061,Gain,
PHIC,2020-11-18,Population Health Investment,10,9.85,-0.015,2021-02-18,10.45,0.45,0.045,Gain,
DGNS,2020-11-17,Dragoneer Growth Opportunities II,10,10.85,0.085,2021-02-17,12.65,2.65,0.265,Gain,
PIPP,2020-11-17,Pine Island Acquisition,10,10.18,0.018,2021-02-17,12.36,2.36,0.236,Gain,
OTRA,2020-11-17,OTR Acquisition,10,9.98,-0.002,2021-02-17,10.4,0.4,0.04,Gain,
ZNTE,2020-11-17,Zanite Acquisition,10,10.24,0.024,2021-02-17,12.52,2.52,0.252,Gain,
STIC,2020-11-11,Northern Star Acquisition,10,11.62,0.162,2021-02-11,14.74,4.74,0.474,Gain,
NOAC,2020-11-11,Natural Order Acquisition,10,10.23,0.023,2021-02-11,11.17,1.17,0.117,Gain,
TSIA,2020-11-10,TS Innovation Acquisitions,10,13.02,0.302,2021-02-10,16.67,6.67,0.667,Gain,
ADOC,2020-11-10,Edoc Acquisition,10,10.01,0.001,2021-02-10,10.3,0.3,0.03,Gain,
